Nr,Artist,Title,Size,MediumYear,Price
1,"Alice van Wouw","Drawing of Sade","42 x 30","Graphite pencil on paper, 2025","1000"
2,"Alice van Wouw","Drawing of Ndumiso","42 x 30","Coloured Pencil on Paper, 2025","1000"
3,"André Clements","Blue, Man","50 x 43","Oil on metal, 2025","3333.33"
4,"André Clements","Anqa","42 x 55","Archival pigment print, parametric authorship (layered computational interventions with original photograph), 2025","3333.33"
5,"Annette Wietzorrek","Rosebud","64 x 88","Charcoal & watercolour on paper, 2025","2700"
6,"Annette Wietzorrek","Feeling stuck","64 x 88","Charcoal & watercolour on paper, 2025","2700"
7,"Charles Foley","Life-drawing nude study","30 x 42","Pastels on paper, 2025","600"
8,"Curt Wildschutt","Reclining Nude","30 x 21","Pencil on paper, 2025","400"
9,"Curt Wildschutt","Sitting Nude","30 x 21","Pencil on paper, 2025","400"
10,"Daisy Levington","Figure Skating","30 x 42","Mixed media, 2025","NFS"
11,"David Forbes","Seated Nude","30 x 42","Ballpoint pen, freehand live drawing, 2025","500"
12,"David Forbes","Nude","30 x 42","Ballpoint pen, freehand live drawing (5 minutes), 2025","300"
13,"Diane Victor","Chicken","42 x 59","Drawing on paper, 2025","2000"
14,"Diane Victor","Untitled","61 x 86","Drawing on paper, 2025","2666.66"
15,"Elli Wahl","Metamorphosis in blue","35 x 50","Oil on alupanel, 2025","NFS"
16,"Elli Wahl","Between Shadow and Form","34 x 45","Oil on panel, 2025","3333.33"
17,"Gustav Krantz","Tuesday. Thulani's sleeping","30 x 50","Painting on Canvas, 2025","2850"
18,"Gustav Krantz","Two Vessels for storing rice","25 x 25 x 15","Wood, aluminium. Sculpture, 2025","2250"
19,"Heinrich Meyer","Untitled","42 x 59","Pastels on paper, 2025",""
20,"Heinrich Meyer","Untitled","50 x 50","Paint on canvas, 2025",""
...
